#integralMeans	integralMeanErr	StdDev	StdDevErr
4757.965332	132.233047	1575.738647	93.502884
4937.443359	130.608017	1517.527954	92.353813
4765.622559	136.022705	1725.934692	96.182579
4704.954590	134.600372	1713.182983	95.176834
4510.886719	129.167923	1602.931763	91.335510
4638.966797	131.771713	1661.578125	93.176674
4665.189453	128.647263	1543.767212	90.967354
4557.117188	130.735840	1658.851929	92.444206
