#integralMeans	integralMeanErr	StdDev	StdDevErr
685.432556	2.743807	189.739777	1.940165
717.384949	2.832143	195.848343	2.002627
613.529419	2.456597	169.878601	1.737076
632.303650	2.491400	172.285324	1.761686
633.491150	2.503556	173.125900	1.770281
675.713989	2.655473	183.631302	1.877703
746.230957	2.877928	199.014496	2.035002
661.961365	2.641999	182.699554	1.868176
