#integralMeans	integralMeanErr	StdDev	StdDevErr
4380.756836	39.073227	1495.029663	27.628944
4545.282227	38.572727	1450.970459	27.275036
4177.252930	39.524471	1554.070923	27.948023
4097.333496	39.270588	1546.583252	27.768499
4095.963867	38.690361	1516.839722	27.358215
4103.462402	38.540783	1506.545410	27.252451
4280.153320	39.181808	1509.389771	27.705721
4007.947754	38.860523	1532.406006	27.478539
