#integralMeans	integralMeanErr	StdDev	StdDevErr
744.082520	7.220267	244.851151	5.105500
814.045410	7.394036	250.743958	5.228373
733.574036	6.958108	235.960938	4.920125
727.000305	6.888249	233.591904	4.870728
663.854309	6.331868	214.724091	4.477307
685.541077	6.431211	218.092972	4.547553
766.159668	7.036902	238.632950	4.975841
712.494690	6.751870	228.967056	4.774293
